rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,50,0,0.75,0.008,0.006,446.2526691507221,334.6895018630416,11840,-0.37311755089926174,-30.598,0.5725506756756756,3867,-0.34646343455112194,-9.238199999999999,0.5865011636927852
10,50,0,1.0,0.008,0.008,446.2526691507221,446.2526691507221,10041,-0.33026651265377255,-26.530599999999996,0.4973608206353949,3189,-0.3133695685464827,-7.995399999999998,0.5058011915961116
10,50,0,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,8443,-0.2900361632377411,-22.594466666666666,0.42449366338979033,2602,-0.28556431497828966,-6.8612,0.4265949269792467
10,50,0,2.0,0.008,0.016,446.2526691507221,892.5053383014442,6492,-0.23581371008987115,-17.2872,0.3307147258163894,1953,-0.21574627377678718,-4.7898,0.33947772657450076
10,50,0,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,5003,-0.19313833383131934,-13.351799999999995,0.24785128922646413,1487,-0.17519563479028252,-3.6341999999999985,0.2548755884330868
10,50,0,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,5291,-0.21696742336277391,-14.949099999999998,0.5628425628425628,1616,-0.236996429514286,-5.000349999999999,0.5525990099009901
10,50,0,1.0,0.015,0.015,836.7237546576039,836.7237546576039,4299,-0.1795965144158021,-11.582399999999996,0.49685973482205165,1293,-0.18022852350790042,-3.4967999999999986,0.4965197215777262
10,50,0,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,3447,-0.14547418495387968,-8.6922,0.4308093994778068,1020,-0.17474047427680586,-3.077,0.4166666666666667
10,50,0,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,2526,-0.13221500667606842,-7.062599999999996,0.32897862232779096,740,-0.14561647980892728,-2.2689999999999992,0.32297297297297295
10,50,0,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1828,-0.13415902171585442,-6.252799999999999,0.2363238512035011,525,-0.06916891268247506,-0.9600000000000001,0.26285714285714284
10,50,0,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,2460,-0.1109491999676642,-5.902249999999993,0.5760162601626017,698,-0.13663281291535675,-2.0710499999999983,0.5630372492836676
10,50,0,1.0,0.025,0.025,1394.5395910960067,1394.5395910960067,1939,-0.09727260705317996,-4.716399999999997,0.5033522434244456,543,-0.09470858650535215,-1.286799999999999,0.5046040515653776
10,50,0,1.3333333333333333,0.025,0.03333333333333333,1394.5395910960067,1859.386121461342,1509,-0.1059716633706048,-4.606733333333333,0.4208084824387011,420,-0.08995935590190557,-1.0919999999999999,0.42857142857142855
10,50,0,2.0,0.025,0.05,1394.5395910960067,2789.0791821920134,1077,-0.14423027675775754,-5.3502,0.30176415970287834,294,-0.036953836484529684,-0.38939999999999986,0.35034013605442177
10,50,0,3.0,0.025,0.07500000000000001,1394.5395910960067,4183.61877328802,776,-0.10102904382285194,-3.3175999999999997,0.23324742268041238,201,-0.16449578117420288,-1.3476,0.208955223880597
10,50,0,0.75,0.04,0.03,2231.2633457536103,1673.4475093152078,1089,-0.08287743927990857,-3.1313999999999984,0.5674931129476584,293,-0.07103408749666207,-0.7217999999999997,0.5733788395904437
10,50,0,1.0,0.04,0.04,2231.2633457536103,2231.2633457536103,855,-0.10361309517447179,-3.5429999999999984,0.4807017543859649,236,-0.022599426252787626,-0.21359999999999957,0.5211864406779662
10,50,0,1.3333333333333333,0.04,0.05333333333333333,2231.2633457536103,2975.0177943381473,670,-0.13703799685197854,-4.182,0.3895522388059702,169,-0.03729658150455188,-0.2927333333333335,0.4378698224852071
10,50,0,2.0,0.04,0.08,2231.2633457536103,4462.526691507221,475,-0.1418613112391093,-3.675,0.2905263157894737,113,-0.0394418912487952,-0.2537999999999999,0.336283185840708
10,50,0,3.0,0.04,0.12,2231.2633457536103,6693.790037260831,333,-0.05354313298925074,-1.2258,0.24324324324324326,79,-0.09097297033574214,-0.4853999999999999,0.22784810126582278
10,50,0,0.75,0.06,0.045,3346.8950186304155,2510.1712639728116,543,-0.06578222655617451,-1.8618000000000008,0.56353591160221,135,-0.05196583881238177,-0.3660000000000002,0.5703703703703704
10,50,0,1.0,0.06,0.06,3346.8950186304155,3346.8950186304155,423,-0.06454812472642502,-1.6397999999999993,0.48936170212765956,102,-0.20170938696880583,-1.2252,0.4215686274509804
10,50,0,1.3333333333333333,0.06,0.07999999999999999,3346.8950186304155,4462.526691507221,337,-0.07644559000855054,-1.7762000000000027,0.4094955489614243,74,-0.08443378420687128,-0.4324000000000006,0.40540540540540543
10,50,0,2.0,0.06,0.12,3346.8950186304155,6693.790037260831,222,-0.011429408137581872,-0.21720000000000034,0.34234234234234234,55,0.03266582735912676,0.1569999999999998,0.36363636363636365
10,50,0,3.0,0.06,0.18,3346.8950186304155,10040.685055891247,147,-0.00530363086137163,-0.08219999999999966,0.2585034013605442,38,-0.27856098444452476,-0.9388000000000001,0.15789473684210525
10,50,1,0.75,0.008,0.006,446.2526691507221,334.6895018630416,9883,-0.37166811693954455,-25.4358,0.5733077000910655,3285,-0.35148040626898,-7.968999999999999,0.5838660578386605
10,50,1,1.0,0.008,0.008,446.2526691507221,446.2526691507221,8482,-0.3127438144811313,-21.221199999999996,0.506130629568498,2749,-0.3144110059920676,-6.915399999999998,0.505274645325573
10,50,1,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,7131,-0.27765129238455744,-18.3006,0.43037442153975597,2281,-0.26814476712066354,-5.661266666666667,0.4348969750109601
10,50,1,2.0,0.008,0.016,446.2526691507221,892.5053383014442,5661,-0.2156957714556284,-13.878599999999995,0.3395159865748101,1747,-0.20549626587949824,-4.094199999999999,0.3440183171150544
10,50,1,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,4419,-0.17654498132570734,-10.873399999999997,0.25435618918307307,1321,-0.16512159069708057,-3.058599999999999,0.25889477668433003
10,50,1,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,4755,-0.21420951980637687,-13.259249999999998,0.564248159831756,1474,-0.2017911758082242,-3.8661499999999993,0.5705563093622795
10,50,1,1.0,0.015,0.015,836.7237546576039,836.7237546576039,3918,-0.16260216774811198,-9.556799999999997,0.5053598774885145,1187,-0.1656861220202538,-2.9511999999999987,0.5037910699241785
10,50,1,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,3173,-0.15324936987127197,-8.419799999999999,0.4270406555310432,980,-0.16482179674412967,-2.793,0.42142857142857143
10,50,1,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,2360,-0.11381847622284463,-5.7159999999999975,0.33728813559322035,710,-0.11833232732214043,-1.7859999999999991,0.3352112676056338
10,50,1,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1733,-0.12037833244993681,-5.360799999999999,0.24177726485862666,515,-0.11311350440990144,-1.5039999999999996,0.2446601941747573
10,50,1,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,2283,-0.1275117325461967,-6.310799999999993,0.5676741130091985,676,-0.10908701950449193,-1.5950999999999984,0.5769230769230769
10,50,1,1.0,0.025,0.025,1394.5395910960067,1394.5395910960067,1864,-0.12437874478300873,-5.7963999999999976,0.4898068669527897,533,-0.06084760084507982,-0.8107999999999989,0.5215759849906192
10,50,1,1.3333333333333333,0.025,0.03333333333333333,1394.5395910960067,1859.386121461342,1459,-0.11581435845592582,-4.8600666666666665,0.4160383824537354,405,-0.13877183242956773,-1.611333333333333,0.4049382716049383
