rapida,lenta,modo,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,"sh_tr|0,0092% (Pepperstone min)","sh_ho|0,0092% (Pepperstone min)","ret_ho|0,0092% (Pepperstone min)","sh_tr|0,0145% (Pepperstone medio, medido)","sh_ho|0,0145% (Pepperstone medio, medido)","ret_ho|0,0145% (Pepperstone medio, medido)","sh_tr|0,030% (folga p/ slippage)","sh_ho|0,030% (folga p/ slippage)","ret_ho|0,030% (folga p/ slippage)","sh_tr|0,050%","sh_ho|0,050%","ret_ho|0,050%","sh_tr|0,063% (leitura '$69' AskTraders)","sh_ho|0,063% (leitura '$69' AskTraders)","ret_ho|0,063% (leitura '$69' AskTraders)","sh_tr|0,260% (CostModel.ts atual)","sh_ho|0,260% (CostModel.ts atual)","ret_ho|0,260% (CostModel.ts atual)"
10,50,0,0.75,0.001,55.781583643840264,41.8361877328802,45496,18185,0.5592521308770965,-0.1363274367453817,-0.13028062376235958,-2.0584582313736393,-0.19783430034072486,-0.19183038164208163,-3.030955922033097,-0.3756856342706979,-0.36980574735076716,-5.843,-0.6057123634288619,-0.5999928948973596,-9.48,-0.7598506243957682,-0.7542386503780989,-11.917111796478114,-3.020993019589585,-3.016957944136581,-47.668499999999995
10,50,0,1.0,0.001,55.781583643840264,55.781583643840264,44542,17696,0.5024299276672695,-0.09327761051981458,-0.08702533595507124,-1.5400256729385706,-0.14675507634681353,-0.14050247076803885,-2.486372614588819,-0.3013888534013537,-0.29513529067270033,-5.2227999999999986,-0.5013868020657921,-0.49513200139277785,-8.761999999999997,-0.6354031231990138,-0.6291474929937464,-11.133577143276144,-2.601365263042396,-2.595097463953593,-45.9236
10,50,0,1.3333333333333333,0.001,55.781583643840264,74.37544485845368,43454,17109,0.4401192354900929,-0.06471024041815576,-0.0560662478932604,-1.1110882254919763,-0.11092983935027256,-0.10223550082247948,-2.026043572728307,-0.24457699420873782,-0.235737076744709,-4.6716999999999995,-0.4174315756958347,-0.40840337149930483,-8.093499999999999,-0.5332594392145292,-0.5241050662478869,-10.386408755894642,-2.232404681310352,-2.2213994664225605,-44.02239999999999
10,50,0,2.0,0.001,55.781583643840264,111.56316728768053,41513,16098,0.34867685426761086,-0.03834909602715545,-0.03207392985338089,-0.7381908500771417,-0.07582946145554129,-0.06947902068053532,-1.5990799248220395,-0.18420652050177683,-0.17763841803086425,-4.088399999999997,-0.32437763902710953,-0.3175280204895697,-7.308,-0.41830469057608394,-0.41126643136577107,-9.465416865532289,-1.7961743835431023,-1.7863688463059757,-41.1138
10,50,0,3.0,0.001,55.781583643840264,167.3447509315208,39027,14920,0.2668900804289544,-0.022655005004701405,-0.013748355813501208,-0.36294840869368583,-0.05302183610837964,-0.043972218198908015,-1.1608403825534137,-0.14082962052976344,-0.13136659872081602,-3.467999999999998,-0.2543971547099058,-0.24439945067667393,-6.451999999999998,-0.3304974509010954,-0.32014146246968617,-8.451544019986441,-1.4468562636014004,-1.4312443962131818,-37.78399999999999
10,50,0,0.75,0.002,111.56316728768053,83.6723754657604,36489,13784,0.5744341265235056,-0.053262000392951085,-0.04701776176386818,-1.121565205458027,-0.08413617211213525,-0.07791985946172694,-1.858706155034602,-0.17341096687919708,-0.16727540412023587,-3.9901999999999997,-0.28887588121388125,-0.2828447575558196,-6.747,-0.3662475899860543,-0.36028644976621543,-8.594299917660397,-1.5012574817280642,-1.4963229686294486,-35.6934
10,50,0,1.0,0.002,111.56316728768053,111.56316728768053,34468,12834,0.5085709833255415,-0.035326245748934074,-0.02880445490090512,-0.7392729140197554,-0.06206637259522508,-0.055546349623828865,-1.4256097499792562,-0.13938729177520404,-0.1328723807408987,-3.410199999999999,-0.23939147921344006,-0.23288317978076123,-5.977000000000001,-0.30640313302233013,-0.2998992639477259,-7.696983106736327,-1.2894354473149177,-1.2829965696993166,-32.928399999999996
10,50,0,1.3333333333333333,0.002,111.56316728768053,148.75088971690735,32249,11861,0.4427957170558975,-0.02557682612614419,-0.01100319266552606,-0.3025338969291201,-0.04868824797991285,-0.03407285591793265,-0.9368366249418721,-0.11551651665499225,-0.10078037671999172,-2.7709666666666672,-0.20194987489274493,-0.18705756385871503,-5.1431666666666676,-0.25986787241005194,-0.24487091292188035,-6.7327505554776055,-1.1095001363891477,-1.09296802881531,-30.05126666666667
10,50,0,2.0,0.002,111.56316728768053,223.12633457536106,29034,10376,0.3463762528912876,-0.016176106459446397,-0.004773722824945767,-0.1414155957510505,-0.034978058220695454,-0.023504902426105454,-0.6963034724781654,-0.0893451971992843,-0.07766739882756976,-2.3007999999999993,-0.15966176371914065,-0.14771928775619153,-4.376000000000001,-0.2067800847951318,-0.19466025142776655,-5.7665676106822605,-0.8979857121776325,-0.8832641215067193,-26.1656
10,50,0,3.0,0.002,111.56316728768053,334.6895018630416,25652,8882,0.2631164152217969,-0.015805994096461898,0.0037029361211281158,0.11586301836345153,-0.03115050003668613,-0.011477610996790547,-0.3591287049490223,-0.07552019620457663,-0.055373208933165316,-1.7325999999999993,-0.13290641793097638,-0.11214624849733192,-3.5090000000000017,-0.1713602639372225,-0.1501892082014146,-4.699345173292198,-0.735461746058173,-0.7082631639210804,-22.1612
